simulation;iteration;value_solution
0;0;90
0;1;121
0;2;101
0;3;115
0;4;116
0;5;92
0;6;115
0;7;92
0;8;97
0;9;111
0;10;99
0;11;102
0;12;118
0;13;116
0;14;110
0;15;105
0;16;99
0;17;102
0;18;99
0;19;111
0;20;120
0;21;108
0;22;92
0;23;106
0;24;101
0;25;102
0;26;103
0;27;98
0;28;100
0;29;98
0;30;100
0;31;109
0;32;112
0;33;99
0;34;102
0;35;104
0;36;104
0;37;108
0;38;107
0;39;103
0;40;92
0;41;110
0;42;110
0;43;111
0;44;104
0;45;114
0;46;110
0;47;100
0;48;105
0;49;128
0;50;105
0;51;117
0;52;123
0;53;91
0;54;100
0;55;111
0;56;104
0;57;97
0;58;120
0;59;101
0;60;102
0;61;90
0;62;96
0;63;110
0;64;108
0;65;107
0;66;99
0;67;100
0;68;105
0;69;109
0;70;103
0;71;115
0;72;102
0;73;107
0;74;111
0;75;108
0;76;99
0;77;98
0;78;105
0;79;101
0;80;116
0;81;121
0;82;108
0;83;102
0;84;102
0;85;88
0;86;105
0;87;104
0;88;112
0;89;110
0;90;114
0;91;96
0;92;103
0;93;119
0;94;94
0;95;100
0;96;104
0;97;96
0;98;102
0;99;98
