simulation;iteration;value_solution
0;0;40
0;1;37
0;2;42
0;3;42
0;4;41
0;5;37
0;6;48
0;7;39
0;8;41
0;9;45
0;10;38
0;11;39
0;12;38
0;13;38
0;14;38
0;15;34
0;16;39
0;17;40
0;18;37
0;19;38
0;20;45
0;21;37
0;22;41
0;23;42
0;24;42
0;25;42
0;26;41
0;27;41
0;28;39
0;29;43
0;30;41
0;31;39
0;32;39
0;33;40
0;34;36
0;35;42
0;36;43
0;37;41
0;38;38
0;39;36
0;40;37
0;41;40
0;42;43
0;43;43
0;44;36
0;45;43
0;46;44
0;47;41
0;48;39
0;49;39
0;50;38
0;51;43
0;52;40
0;53;38
0;54;40
0;55;43
0;56;38
0;57;40
0;58;42
0;59;36
0;60;40
0;61;43
0;62;46
0;63;47
0;64;39
0;65;41
0;66;37
0;67;39
0;68;40
0;69;38
0;70;40
0;71;43
0;72;39
0;73;44
0;74;41
0;75;42
0;76;43
0;77;39
0;78;37
0;79;41
0;80;33
0;81;37
0;82;42
0;83;39
0;84;39
0;85;38
0;86;40
0;87;37
0;88;36
0;89;36
0;90;36
0;91;41
0;92;41
0;93;41
0;94;42
0;95;42
0;96;43
0;97;37
0;98;41
0;99;38
