simulation;iteration;value_solution
0;0;98
0;1;117
0;2;96
0;3;106
0;4;77
0;5;119
0;6;108
0;7;85
0;8;91
0;9;103
0;10;113
0;11;119
0;12;109
0;13;96
0;14;114
0;15;93
0;16;113
0;17;96
0;18;84
0;19;109
0;20;101
0;21;109
0;22;107
0;23;104
0;24;106
0;25;107
0;26;89
0;27;109
0;28;103
0;29;102
0;30;105
0;31;102
0;32;100
0;33;102
0;34;109
0;35;104
0;36;113
0;37;98
0;38;110
0;39;99
0;40;125
0;41;103
0;42;96
0;43;96
0;44;106
0;45;114
0;46;101
0;47;110
0;48;105
0;49;108
0;50;94
0;51;95
0;52;128
0;53;106
0;54;113
0;55;118
0;56;85
0;57;121
0;58;109
0;59;122
0;60;103
0;61;102
0;62;104
0;63;97
0;64;95
0;65;120
0;66;99
0;67;101
0;68;115
0;69;117
0;70;93
0;71;101
0;72;114
0;73;102
0;74;102
0;75;103
0;76;106
0;77;90
0;78;95
0;79;120
0;80;111
0;81;101
0;82;93
0;83;95
0;84;122
0;85;100
0;86;88
0;87;95
0;88;112
0;89;112
0;90;95
0;91;106
0;92;106
0;93;102
0;94;91
0;95;97
0;96;94
0;97;105
0;98;88
0;99;117
