simulation,iteration,value_solution
0,0,100
0,1,107
0,2,95
0,3,100
0,4,96
0,5,110
0,6,103
0,7,94
0,8,101
0,9,100
0,10,118
0,11,118
0,12,118
0,13,103
0,14,115
0,15,110
0,16,104
0,17,98
0,18,92
0,19,103
0,20,95
0,21,118
0,22,111
0,23,108
0,24,113
0,25,99
0,26,102
0,27,94
0,28,102
0,29,110
0,30,98
0,31,125
0,32,97
0,33,102
0,34,119
0,35,128
0,36,114
0,37,109
0,38,120
0,39,106
0,40,96
0,41,113
0,42,108
0,43,94
0,44,132
0,45,88
0,46,130
0,47,102
0,48,110
0,49,112
0,50,100
0,51,85
0,52,107
0,53,112
0,54,105
0,55,90
0,56,93
0,57,108
0,58,109
0,59,93
0,60,96
0,61,107
0,62,106
0,63,92
0,64,95
0,65,108
0,66,103
0,67,119
0,68,104
0,69,113
0,70,106
0,71,104
0,72,107
0,73,98
0,74,96
0,75,111
0,76,119
0,77,96
0,78,103
0,79,105
0,80,115
0,81,94
0,82,99
0,83,108
0,84,117
0,85,110
0,86,110
0,87,89
0,88,113
0,89,112
0,90,106
0,91,121
0,92,95
0,93,122
0,94,122
0,95,99
0,96,99
0,97,87
0,98,116
0,99,111
