simulation;iteration;value_solution
0;0;105
0;1;85
0;2;111
0;3;103
0;4;104
0;5;100
0;6;106
0;7;110
0;8;104
0;9;123
0;10;118
0;11;93
0;12;101
0;13;95
0;14;98
0;15;109
0;16;89
0;17;120
0;18;97
0;19;114
0;20;104
0;21;101
0;22;113
0;23;105
0;24;111
0;25;116
0;26;112
0;27;114
0;28;104
0;29;106
0;30;117
0;31;107
0;32;102
0;33;109
0;34;101
0;35;119
0;36;99
0;37;95
0;38;108
0;39;91
0;40;114
0;41;108
0;42;110
0;43;105
0;44;123
0;45;117
0;46;103
0;47;114
0;48;101
0;49;106
0;50;98
0;51;86
0;52;95
0;53;96
0;54;113
0;55;107
0;56;101
0;57;99
0;58;117
0;59;118
0;60;112
0;61;108
0;62;102
0;63;126
0;64;104
0;65;107
0;66;121
0;67;130
0;68;105
0;69;112
0;70;106
0;71;104
0;72;104
0;73;91
0;74;102
0;75;91
0;76;101
0;77;111
0;78;90
0;79;108
0;80;108
0;81;103
0;82;89
0;83;110
0;84;89
0;85;97
0;86;112
0;87;114
0;88;100
0;89;115
0;90;110
0;91;88
0;92;127
0;93;114
0;94;88
0;95;93
0;96;95
0;97;92
0;98;101
0;99;109
