simulation;iteration;value_solution
0;0;41
0;1;41
0;2;42
0;3;41
0;4;41
0;5;39
0;6;38
0;7;35
0;8;45
0;9;36
0;10;36
0;11;39
0;12;37
0;13;41
0;14;42
0;15;40
0;16;43
0;17;44
0;18;36
0;19;38
0;20;40
0;21;39
0;22;41
0;23;41
0;24;41
0;25;36
0;26;35
0;27;42
0;28;38
0;29;40
0;30;35
0;31;43
0;32;46
0;33;39
0;34;40
0;35;38
0;36;37
0;37;40
0;38;41
0;39;41
0;40;34
0;41;38
0;42;38
0;43;39
0;44;35
0;45;44
0;46;41
0;47;43
0;48;39
0;49;40
0;50;40
0;51;32
0;52;41
0;53;41
0;54;43
0;55;39
0;56;41
0;57;43
0;58;43
0;59;43
0;60;39
0;61;34
0;62;39
0;63;37
0;64;41
0;65;41
0;66;39
0;67;36
0;68;36
0;69;40
0;70;40
0;71;41
0;72;47
0;73;48
0;74;37
0;75;38
0;76;42
0;77;43
0;78;41
0;79;35
0;80;37
0;81;35
0;82;38
0;83;34
0;84;39
0;85;37
0;86;37
0;87;43
0;88;34
0;89;38
0;90;38
0;91;42
0;92;40
0;93;35
0;94;41
0;95;39
0;96;35
0;97;38
0;98;38
0;99;41
