simulation;iteration;value_solution
0;0;38
0;1;40
0;2;40
0;3;39
0;4;38
0;5;38
0;6;41
0;7;41
0;8;42
0;9;41
0;10;39
0;11;37
0;12;42
0;13;32
0;14;43
0;15;34
0;16;42
0;17;37
0;18;35
0;19;37
0;20;38
0;21;47
0;22;48
0;23;41
0;24;40
0;25;35
0;26;37
0;27;42
0;28;44
0;29;44
0;30;37
0;31;42
0;32;37
0;33;41
0;34;43
0;35;42
0;36;39
0;37;41
0;38;42
0;39;39
0;40;41
0;41;45
0;42;43
0;43;46
0;44;41
0;45;43
0;46;40
0;47;43
0;48;44
0;49;44
0;50;44
0;51;37
0;52;34
0;53;41
0;54;46
0;55;46
0;56;38
0;57;39
0;58;41
0;59;39
0;60;34
0;61;41
0;62;43
0;63;39
0;64;36
0;65;38
0;66;42
0;67;38
0;68;40
0;69;39
0;70;34
0;71;41
0;72;35
0;73;38
0;74;36
0;75;38
0;76;32
0;77;41
0;78;45
0;79;44
0;80;38
0;81;42
0;82;41
0;83;38
0;84;35
0;85;45
0;86;43
0;87;35
0;88;38
0;89;39
0;90;43
0;91;40
0;92;40
0;93;39
0;94;37
0;95;38
0;96;39
0;97;41
0;98;45
0;99;43
