simulation;iteration;value_solution
0;0;37
0;1;40
0;2;42
0;3;41
0;4;43
0;5;37
0;6;42
0;7;43
0;8;39
0;9;39
0;0;32
0;1;40
0;2;47
0;3;45
0;4;47
0;5;38
0;6;39
0;7;40
0;8;41
0;9;40
0;0;196
0;1;194
0;2;197
0;3;200
0;4;197
0;5;192
0;6;195
0;7;195
0;8;196
0;9;192
0;0;33
0;1;37
0;2;35
0;3;36
0;4;38
0;5;34
0;6;41
0;7;39
0;8;40
0;9;46
0;0;40
0;1;41
0;2;42
0;3;42
0;4;44
0;5;40
0;6;40
0;7;40
0;8;43
0;9;40
0;0;43
0;1;48
0;2;38
0;3;38
0;4;39
0;5;39
0;6;41
0;7;42
0;8;42
0;9;38
0;0;38
0;0;33
0;0;39
0;0;35
0;0;37
0;1;41
0;2;33
0;3;41
0;4;39
0;5;40
0;6;38
0;7;41
0;8;37
0;9;39
0;10;34
0;11;46
0;12;44
0;13;43
0;14;47
0;15;43
0;16;43
0;17;35
0;18;39
0;19;42
0;20;34
0;21;41
0;22;43
0;23;39
0;24;36
0;25;39
0;26;42
0;27;37
0;28;39
0;29;35
0;30;41
0;31;38
0;32;43
0;33;45
0;34;33
0;35;34
0;36;33
0;37;35
0;38;36
0;39;46
0;40;37
0;41;39
0;42;42
0;43;38
0;44;38
0;45;39
0;46;40
0;47;43
0;48;41
0;49;42
0;50;41
0;51;39
0;52;43
0;53;44
0;54;42
0;55;35
0;56;35
0;57;43
0;58;40
0;59;40
0;60;36
0;61;42
0;62;41
0;63;41
0;64;43
0;65;44
0;66;31
0;67;38
0;68;41
0;69;38
0;70;34
0;71;40
0;72;44
0;73;35
0;74;38
0;75;43
0;76;40
0;77;39
0;78;44
0;79;39
0;80;44
0;81;45
0;82;41
0;83;38
0;84;42
0;85;40
0;86;37
0;87;38
0;88;41
0;89;40
0;90;41
0;91;41
0;92;41
0;93;42
0;94;31
0;95;38
0;96;42
0;97;42
0;98;43
0;99;43
0;0;36
0;1;38
0;0;40
0;1;43
0;0;43
0;1;47
0;0;31
0;1;39
0;0;38
0;1;40
0;0;98
0;1;94
0;0;186
0;1;186
0;0;193
0;1;201
0;2;184
0;3;196
0;4;197
0;5;192
0;6;186
0;7;191
0;8;193
0;9;184
0;10;196
0;11;191
0;12;193
0;13;197
0;14;197
0;15;194
0;16;199
0;17;194
0;18;194
0;19;192
0;20;191
0;21;195
0;22;196
0;23;199
0;24;202
0;25;193
0;26;193
0;27;195
0;28;191
0;29;200
0;30;192
0;31;194
0;32;194
0;33;198
0;34;198
0;35;195
0;36;186
0;37;198
0;38;191
0;39;188
0;40;197
0;41;200
0;42;192
0;43;191
0;44;196
0;45;196
0;46;192
0;47;203
0;48;186
0;49;206
0;50;194
0;51;191
0;52;197
0;53;195
0;54;197
0;55;189
0;56;196
0;57;192
0;58;202
0;59;196
0;60;190
0;61;187
0;62;193
0;63;197
0;64;202
0;65;194
0;66;192
0;67;194
0;68;197
0;69;185
0;70;192
0;71;192
0;72;195
0;73;191
0;74;193
0;75;200
0;76;192
0;77;184
0;78;190
0;79;197
0;80;194
0;81;193
0;82;190
0;83;200
0;84;191
0;85;193
0;86;202
0;87;207
0;88;192
0;89;191
0;90;196
0;91;194
0;92;203
0;93;193
0;94;188
0;95;195
0;96;196
0;97;184
0;98;199
0;99;193
0;0;193
0;1;186
0;0;187
0;1;196
0;0;191
0;1;189
0;2;194
0;3;195
0;4;199
0;5;198
0;6;190
0;7;196
0;8;197
0;0;197
0;1;199
0;2;190
0;3;199
0;4;189
0;5;199
0;6;196
0;7;188
0;8;196
0;9;200
0;10;197
0;11;195
0;12;200
0;13;196
0;14;200
0;15;196
0;16;192
0;17;198
0;18;200
0;19;192
0;20;199
0;21;195
0;22;195
0;23;194
0;24;197
0;25;186
0;26;199
0;27;192
0;28;200
0;29;193
0;30;204
0;31;188
0;32;193
0;33;198
0;34;195
0;35;196
0;36;198
0;37;199
0;38;192
0;39;199
0;40;187
0;41;195
0;42;191
0;43;190
0;44;197
0;45;186
0;46;199
0;47;198
0;48;191
0;49;194
0;50;195
0;51;195
0;52;203
0;53;194
0;54;193
0;55;198
0;56;188
0;57;197
0;58;199
0;59;196
0;60;194
0;61;195
0;62;194
0;63;193
0;64;194
0;65;193
0;66;189
0;67;195
0;68;196
0;69;194
0;70;194
0;71;200
0;72;188
0;73;192
0;74;194
0;75;189
0;76;198
0;77;197
0;78;191
0;79;191
0;80;195
0;81;197
0;82;196
0;83;188
0;84;204
0;85;195
0;86;196
0;87;191
0;88;188
0;89;189
0;90;197
0;91;204
0;92;204
0;93;183
0;94;202
0;95;190
0;96;190
0;97;199
0;98;195
0;99;197
0;0;201
0;1;191
0;2;192
0;3;199
0;4;196
0;5;198
0;6;199
0;7;191
0;8;195
0;9;190
0;10;202
0;11;204
0;12;197
0;13;189
0;14;190
0;15;191
0;16;200
0;17;195
0;18;190
0;19;203
0;20;197
0;21;195
0;22;188
0;23;200
0;24;200
0;25;196
0;26;197
0;27;192
0;28;194
0;29;198
0;30;191
0;31;181
0;32;195
0;33;196
0;34;202
0;35;185
0;36;192
0;37;191
0;38;190
0;39;200
0;40;189
0;41;193
0;42;197
0;43;188
0;44;193
0;45;186
0;46;193
0;47;192
0;48;186
0;49;189
0;50;192
0;51;198
0;52;193
0;53;203
0;54;183
0;55;199
0;56;190
0;57;191
0;58;184
0;59;190
0;60;194
0;61;199
0;62;196
0;63;195
0;64;193
0;65;193
0;66;193
0;67;197
0;68;192
0;69;195
0;70;195
0;71;196
0;72;192
0;73;193
0;74;192
0;75;190
0;76;193
0;77;196
0;78;191
0;79;199
0;80;190
0;81;201
0;82;196
0;83;196
0;84;202
0;85;193
0;86;193
0;87;195
0;88;203
0;89;199
0;90;196
0;91;192
0;92;196
0;93;190
0;94;201
0;95;200
0;96;199
0;97;196
0;98;195
0;99;191
